TimezoneId,Name,Abbreviation
107,+00:00(Etc/GMT),Etc/GMT
108,00:00(Etc/GMT+0),Etc/GMT+0
109,+00:00(Etc/GMT-0),Etc/GMT-0
110,+00:00(Etc/GMT0),Etc/GMT0
111,+00:00 (Etc/Greenwich),Etc/Greenwich
112,+00:00(GMT),GMT
113,+00:00(GMT+0),GMT+0
114,+00:00(GMT-0),GMT-0
115,+00:00(GMT0),GMT0
116,+00:00(Greenwich),Greenwich
117,+01:00 (Etc/GMT-1),Etc/GMT-1
118,+02:00(Etc/GMT-2),Etc/GMT-2
119,+03:00(Etc/GMT-3),Etc/GMT-3
120,+04:00 (Etc/GMT-4),Etc/GMT-4
121,+05:00(Etc/GMT-5),Etc/GMT-5
122,+06:00(Etc/GMT-6),Etc/GMT-6
123,+07:00(Etc/GMT-7),Etc/GMT-7
124,+08:00(Etc/GMT-8),Etc/GMT-8
125,+09:00(Etc/GMT-9),Etc/GMT-9
126,+10:00 (Etc/GMT-10),Etc/GMT-10
127,+11:00 (Etc/GMT-11),Etc/GMT-11
128,+12:00 (Etc/GMT-1),Etc/GMT-1
129,+13:00 (Etc/GMT-13),Etc/GMT-13
130,+14:00 (Etc/GMT-14),Etc/GMT-14
131,-01:00 (Etc/GMT+1),Etc/GMT+1
132,-02:00 (Etc/GMT+2),Etc/GMT+2
133,-03:00 (Etc/GMT+3),Etc/GMT+3
134,-04:00 (Etc/GMT+4),Etc/GMT+4
135,-05:00 (Etc/GMT+5),Etc/GMT+5
136,-06:00 (Etc/GMT+6),Etc/GMT+6
137,-07:00 (Etc/GMT+7),Etc/GMT+7
138,-08:00 (Etc/GMT+8),Etc/GMT+8
139,-09:00 (Etc/GMT+9),Etc/GMT+9
140,-10:00 (Etc/GMT+10),Etc/GMT+10
141,-11:00 (Etc/GMT+11),Etc/GMT+11
142,-12:00 (Etc/GMT+12),Etc/GMT+12
143,Afghanistan Time (Asia/Kabul),Asia/Kabul
144,Alaska Standard Time (America/Metlakatla),America/Metlakatla
145,Alaska Standard Time (America/Sitka),America/Sitka
146,Alaska Time (America/Anchorage),America/Anchorage
147,Alaska Time (America/Juneau),America/Juneau
148,Alaska Time (America/Nome),America/Nome
149,Alaska Time (America/Yakutat),America/Yakutat
150,Alaska Time (US/Alaska),US/Alaska
151,Alma-Ata Time (Asia/Almaty),Asia/Almaty
152,Amazon Time (America/Boa_Vista),America/Boa_Vista
153,Amazon Time (America/Campo_Grande),America/Campo_Grande
154,Amazon Time (America/Cuiaba),America/Cuiaba
155,Amazon Time (America/Eirunepe),America/Eirunepe
156,Amazon Time (America/Manaus),America/Manaus
157,Amazon Time (America/Porto_Acre),America/Porto_Acre
158,Amazon Time (America/Porto_Velho),America/Porto_Velho
159,Amazon Time (America/Rio_Branco),America/Rio_Branco
160,Amazon Time (Brazil/Acre),Brazil/Acre
161,Amazon Time (Brazil/West),Brazil/West
162,Anadyr Time (Asia/Anadyr),Asia/Anadyr
163,Antarctica/Macquarie,Antarctica/Macquarie
164,Aqtau Time (Asia/Aqtau),Asia/Aqtau
165,Aqtobe Time (Asia/Aqtobe),Asia/Aqtobe
166,Arabia Time (Asia/Aden),Asia/Aden
167,Arabia Time (Asia/Baghdad),Asia/Baghdad
168,Arabia Time (Asia/Bahrain),Asia/Bahrain
169,Arabia Time (Asia/Kuwait),Asia/Kuwait
170,Arabia Time (Asia/Qatar),Asia/Qatar
171,Arabia Time (Asia/Riyadh),Asia/Riyadh
172,Argentine Time (America/Argentina/Buenos_Aires),America/Argentina/Buenos_Aires
173,Argentine Time (America/Argentina/Catamarca),America/Argentina/Catamarca
174,Argentine Time (America/Argentina/ComodRivadavia),America/Argentina/ComodRivadavia
175,Argentine Time (America/Argentina/Cordoba),America/Argentina/Cordoba
176,Argentine Time (America/Argentina/Jujuy),America/Argentina/Jujuy
